iter	Passed	Remaining
145	417	2443
146	419	2436
147	421	2426
148	422	2414
149	423	2402
150	425	2389
151	425	2376
152	426	2363
153	427	2349
154	428	2336
155	429	2323
156	430	2311
157	431	2298
158	432	2288
159	435	2286
160	436	2273
161	437	2261
162	438	2249
163	439	2237
164	440	2227
165	441	2217
166	442	2207
167	443	2196
168	444	2185
169	445	2174
170	446	2164
171	447	2153
172	448	2145
173	450	2137
174	451	2126
175	452	2117
176	453	2106
177	453	2096
178	455	2087
179	456	2077
180	456	2067
181	457	2057
182	458	2049
183	460	2040
184	461	2031
185	462	2022
186	463	2015
187	464	2007
188	465	1998
189	466	1989
190	467	1980
191	468	1971
192	469	1962
193	470	1956
194	472	1948
195	473	1940
196	473	1931
197	474	1922
198	475	1914
199	476	1905
200	477	1897
201	478	1889
202	479	1883
203	481	1877
204	482	1869
205	482	1861
206	483	1853
207	485	1846
208	486	1839
209	486	1831
210	487	1824
211	489	1817
212	489	1810
213	490	1802
214	491	1795
215	492	1788
216	494	1784
217	495	1777
218	496	1770
219	497	1763
220	498	1757
221	499	1749
222	500	1743
223	501	1738
224	502	1731
225	503	1725
226	504	1718
227	505	1711
228	506	1705
229	507	1699
230	508	1693
231	510	1688
232	511	1683
233	512	1677
234	513	1671
235	514	1665
236	515	1660
237	516	1654
238	517	1647
239	518	1641
240	519	1635
241	520	1628
242	520	1622
243	521	1616
244	522	1610
245	524	1607
246	525	1603
247	527	1598
248	528	1593
249	529	1587
250	530	1581
251	531	1576
252	532	1572
253	533	1567
254	534	1562
255	535	1556
256	536	1550
257	537	1545
258	538	1540
259	539	1535
260	540	1531
261	542	1528
262	543	1523
263	544	1518
264	545	1513
265	546	1508
266	547	1503
267	549	1499
268	550	1495
269	551	1489
270	551	1484
271	552	1479
272	554	1475
273	555	1472
274	557	1468
275	557	1463
276	558	1458
277	559	1453
278	560	1448
279	562	1445
280	563	1441
281	564	1436
282	565	1432
283	566	1428
284	568	1425
285	569	1421
286	570	1418
287	572	1415
288	573	1411
289	575	1407
290	576	1403
291	577	1399
292	578	1395
293	579	1391
294	580	1387
295	581	1383
296	582	1379
297	583	1374
298	584	1370
299	586	1367
300	587	1363
301	588	1359
302	589	1355
303	590	1351
304	591	1347
305	592	1343
306	593	1340
307	594	1336
308	595	1332
309	596	1328
310	597	1324
311	598	1320
312	599	1316
313	601	1313
314	602	1309
315	603	1305
316	604	1301
317	605	1297
318	606	1294
319	607	1290
320	608	1287
321	609	1283
322	610	1279
323	611	1275
324	612	1271
325	613	1268
326	614	1265
327	616	1262
328	617	1259
329	618	1256
330	620	1253
331	621	1251
332	623	1248
333	624	1245
334	626	1243
335	627	1240
336	628	1237
337	630	1234
338	631	1231
339	633	1229
340	634	1226
341	635	1223
342	638	1222
343	639	1219
344	640	1215
345	641	1212
346	642	1208
347	643	1205
348	644	1202
349	646	1199
350	647	1197
351	648	1194
352	650	1191
353	651	1188
354	652	1185
355	654	1184
356	656	1182
357	657	1179
358	658	1175
359	659	1172
360	660	1169
361	661	1165
362	663	1163
363	664	1161
364	666	1158
365	667	1156
366	668	1153
367	670	1150
368	671	1147
369	672	1144
370	673	1141
371	674	1137
372	674	1134
373	676	1132
374	677	1129
375	679	1127
376	680	1124
377	682	1122
378	683	1120
379	685	1117
380	686	1115
381	687	1111
382	688	1108
383	689	1105
384	690	1102
385	691	1099
386	692	1096
387	695	1096
388	696	1094
389	697	1091
390	699	1089
391	701	1087
392	702	1085
393	703	1082
394	704	1079
395	706	1076
396	707	1074
397	709	1072
398	712	1073
399	716	1074
400	717	1072
401	719	1070
402	721	1068
403	722	1066
404	727	1069
405	729	1068
406	731	1065
407	732	1063
408	733	1060
409	735	1057
410	736	1055
411	739	1055
412	742	1054
413	743	1052
414	745	1050
415	746	1048
416	748	1045
417	749	1043
418	750	1041
419	752	1038
420	754	1037
421	757	1037
422	759	1035
423	760	1032
424	761	1030
425	762	1027
426	763	1024
427	764	1022
428	765	1019
429	767	1017
430	771	1018
431	773	1016
432	774	1014
433	776	1012
434	777	1009
435	778	1006
436	779	1004
437	780	1001
438	784	1002
439	786	1001
440	787	998
441	789	996
442	790	993
443	791	991
444	792	988
445	793	986
446	795	983
447	796	981
448	799	981
449	801	979
450	803	977
451	804	975
452	806	973
453	807	971
454	808	968
455	809	965
456	811	963
457	814	963
